retailer_moniker,shipment_count,order_count,return_count,shipments_production_cost_usd,orders_production_cost_usd,returns_production_cost_usd,total_production_cost_usd,consumption_cost_usd,consumption_slot_hours,query_count,first_query_date,last_query_date,query_days_active,avg_queries_per_day,total_cost_usd,consumption_to_production_ratio,consumption_pct_of_total
cleanersupply,233345,57412,0,19.68,0.71,0.0,20.39,0.0,0.0,0,,,1,0.0,20.39,0.0,0.0
bestbuy,240113,0,0,20.25,0.0,0.0,20.25,0.0,0.0,0,,,1,0.0,20.25,0.0,0.0
selfridges,239834,0,0,20.22,0.0,0.0,20.22,0.0,0.0,0,,,1,0.0,20.22,0.0,0.0
clubllondon,160706,530108,0,13.55,6.58,0.0,20.130000000000003,0.0,0.0,0,,,1,0.0,20.130000000000003,0.0,0.0
roadrunnersports,190668,237282,16089,16.08,2.95,1.03,20.06,0.029799999999999976,0.4600000000000001,74,2025-09-01,2025-10-31,61,1.21,20.0898,0.0015,0.0015
lauraorderstatus,116684,822370,0,9.84,10.22,0.0,20.060000000000002,0.0,0.0,0,,,1,0.0,20.060000000000002,0.0,0.0
burrow,236549,0,0,19.95,0.0,0.0,19.95,0.0,0.0,0,,,1,0.0,19.95,0.0,0.0
allpoints,148685,573207,1729,12.54,7.12,0.11,19.77,0.0,0.0,0,,,1,0.0,19.77,0.0,0.0
dailylook,231511,0,0,19.52,0.0,0.0,19.52,0.0,0.0,0,,,1,0.0,19.52,0.0,0.0
verabradleyoutlet,148504,466666,15735,12.52,5.8,1.01,19.330000000000002,0.0,0.0,0,,,1,0.0,19.330000000000002,0.0,0.0
tilebar,207706,121049,0,17.51,1.5,0.0,19.01,0.0,0.0,0,,,1,0.0,19.01,0.0,0.0
torrid,224251,0,0,18.91,0.0,0.0,18.91,0.0,0.0,0,,,1,0.0,18.91,0.0,0.0
groveco,223751,0,0,18.87,0.0,0.0,18.87,0.0,0.0,0,,,1,0.0,18.87,0.0,0.0
clarksoutlet,121133,275595,81515,10.21,3.42,5.22,18.85,0.008199999999999999,0.16,8,2025-09-11,2025-10-21,41,0.2,18.8582,4.0E-4,4.0E-4
kay,157483,393632,7513,13.28,4.89,0.48,18.65,0.0,0.0,0,,,1,0.0,18.65,0.0,0.0
teambeachbody,189604,205613,0,15.99,2.55,0.0,18.54,0.0,0.0,0,,,1,0.0,18.54,0.0,0.0
natori,38018,1232759,0,3.21,15.31,0.0,18.52,0.0,0.0,0,,,1,0.0,18.52,0.0,0.0
coopsleepgoods,68319,1010726,0,5.76,12.56,0.0,18.32,0.0,0.0,0,,,1,0.0,18.32,0.0,0.0
fingerhut,211360,30729,763,17.82,0.38,0.05,18.25,0.0050999999999999995,0.08,61,2025-09-01,2025-10-31,61,1.0,18.2551,3.0E-4,3.0E-4
puritan,216297,0,0,18.24,0.0,0.0,18.24,0.0,0.0,0,,,1,0.0,18.24,0.0,0.0
barenecessities,89319,854895,0,7.53,10.62,0.0,18.15,0.0,0.0,0,,,1,0.0,18.15,0.0,0.0
trekbikes,201641,83014,81,17.0,1.03,0.01,18.040000000000003,0.0,0.0,0,,,1,0.0,18.040000000000003,0.0,0.0
