retailer_moniker,project_id_prod,project_id_qa,project_id_stg,md5_hash
bacawines,monitor-d5043b6-us-prod,monitor-d5043b6-us-qa,monitor-d5043b6-us-stg,d5043b6
backcountry,monitor-44f6fde-us-prod,monitor-44f6fde-us-qa,monitor-44f6fde-us-stg,44f6fde
backdrop,monitor-0adb881-us-prod,monitor-0adb881-us-qa,monitor-0adb881-us-stg,0adb881
backpacks,monitor-60cc060-us-prod,monitor-60cc060-us-qa,monitor-60cc060-us-stg,60cc060
badbirdie,monitor-7d94a68-us-prod,monitor-7d94a68-us-qa,monitor-7d94a68-us-stg,7d94a68
baffin,monitor-c0b909b-us-prod,monitor-c0b909b-us-qa,monitor-c0b909b-us-stg,c0b909b
baileyhats,monitor-6ca1ebc-us-prod,monitor-6ca1ebc-us-qa,monitor-6ca1ebc-us-stg,6ca1ebc
bakedbymelissa,monitor-17d79f9-us-prod,monitor-17d79f9-us-qa,monitor-17d79f9-us-stg,17d79f9
balenciaga,monitor-304e45c-us-prod,monitor-304e45c-us-qa,monitor-304e45c-us-stg,304e45c
balibras,monitor-7c70b93-us-prod,monitor-7c70b93-us-qa,monitor-7c70b93-us-stg,7c70b93
ballsbeachwear,monitor-6967119-us-prod,monitor-6967119-us-qa,monitor-6967119-us-stg,6967119
balsam,monitor-77202b3-us-prod,monitor-77202b3-us-qa,monitor-77202b3-us-stg,77202b3
balsambrands1,monitor-54272d3-us-prod,monitor-54272d3-us-qa,monitor-54272d3-us-stg,54272d3
balsambrands2,monitor-16beac6-us-prod,monitor-16beac6-us-qa,monitor-16beac6-us-stg,16beac6
balsambrands3,monitor-0c10d04-us-prod,monitor-0c10d04-us-qa,monitor-0c10d04-us-stg,0c10d04
balsamhill,monitor-2b8b499-us-prod,monitor-2b8b499-us-qa,monitor-2b8b499-us-stg,2b8b499
balsamhillau,monitor-138b4df-us-prod,monitor-138b4df-us-qa,monitor-138b4df-us-stg,138b4df
balsamhilluk,monitor-d86fdb3-us-prod,monitor-d86fdb3-us-qa,monitor-d86fdb3-us-stg,d86fdb3
bananarepublic,monitor-6a62fa3-us-prod,monitor-6a62fa3-us-qa,monitor-6a62fa3-us-stg,6a62fa3
bananarepublicca,monitor-3d6e563-us-prod,monitor-3d6e563-us-qa,monitor-3d6e563-us-stg,3d6e563
